task_id,cve_id,project,variant,representation,indexed_bug_class,target_class,expected_positive,limited_observability_reason,input_status,response_status,category,model_verdict,confidence,evidence_lines,summary,model,input_tokens,output_tokens,actual_cost_usd,error
CVE-2026-29004__patched__out-of-bounds-read,CVE-2026-29004,busybox,patched,ghidra_pseudo_c,heap-buffer-overflow,out-of-bounds-read,False,,ready,ok,false_positive,vulnerable,0.98,"[23, 25, 29, 35, 36]","The loop can process an option with only its 4-byte header remaining: iVar13 is remaining length minus 4, and the check at line 29 permits bVar1 == 0 when iVar13 == 0. If bVar2 is 0x1a, line 36 then reads four bytes from param_1 + 8 without establishing that those bytes lie before param_2, producing an out-of-bounds read.",gpt-5.6-sol,2426,431,0.02506,
CVE-2026-29004__patched__command-injection,CVE-2026-29004,busybox,patched,ghidra_pseudo_c,heap-buffer-overflow,command-injection,False,,ready,ok,true_negative,not_vulnerable,0.98,"[38, 45, 55, 74, 91, 95, 113]","Parameter-derived data is copied or formatted into strings, including name/value forms, but this function contains no system, popen, explicit shell invocation, or other recognized shell-capable sink. Opaque FUN_* callees cannot be assumed to execute commands, so the required local flow into a shell interpreter is absent.",gpt-5.6-sol,2450,123,0.01594,
CVE-2021-42386__vulnerable__heap-buffer-overflow,CVE-2021-42386,busybox,vulnerable,ghidra_pseudo_c,use-after-free,heap-buffer-overflow,False,,ready,ok,true_negative,not_vulnerable,0.96,"[16, 21, 22, 23, 25, 28, 34, 35, 36, 37, 38]","The allocation-like call requests 32*(max(param_1,64)+1) bytes, with a 32-byte header and at least param_1 32-byte slots when param_1 is positive. Existing regions are used only when the displayed capacity check permits param_1 additional slots, and the loop advances 32 bytes per iteration while writing only within each slot; negative param_1 causes no loop writes.",gpt-5.6-sol,1230,574,0.02337,
CVE-2021-42386__vulnerable__use-after-free,CVE-2021-42386,busybox,vulnerable,ghidra_pseudo_c,use-after-free,use-after-free,True,"The isolated nvalloc body does not show the freeing operation, retained stale alias, and later dereference needed to prove the indexed cross-function use-after-free.",ready,ok,false_negative,not_vulnerable,0.98,"[18, 19, 25, 29, 31]","No release operation is displayed in the function. The removed list node retained in piVar6 is later linked to the newly obtained object, but the opaque call at line 25 cannot be assumed to free it, so no free-and-stale-use sequence is established.",gpt-5.6-sol,1201,197,0.011915,
CVE-2021-42386__vulnerable__integer-overflow,CVE-2021-42386,busybox,vulnerable,ghidra_pseudo_c,use-after-free,integer-overflow,False,,ready,ok,true_negative,not_vulnerable,0.93,"[16, 21, 22, 23, 25, 35, 36]","The relevant arithmetic explicitly widens the 32-bit int values to long before addition or multiplication. For any int param_1/iVar3, the allocation size ((long)iVar3 + 1) * 0x20 and pointer offset (long)param_1 * 8 remain within a typical 64-bit long range, so no bounded-width overflow affecting the local allocation, bounds check, or loop is established.",gpt-5.6-sol,1235,449,0.019645,
CVE-2021-42386__vulnerable__null-pointer-dereference,CVE-2021-42386,busybox,vulnerable,ghidra_pseudo_c,use-after-free,null-pointer-dereference,False,,ready,ok,abstention,indeterminate,0.96,"[25, 27]","The pointer returned by opaque FUN_00119b6d is dereferenced without a NULL guard. However, the isolated function provides no local evidence that this opaque callee can return NULL, so nullability cannot be established or excluded.",gpt-5.6-sol,1232,238,0.0133,
CVE-2021-42386__vulnerable__out-of-bounds-read,CVE-2021-42386,busybox,vulnerable,ghidra_pseudo_c,use-after-free,out-of-bounds-read,False,,ready,ok,true_negative,not_vulnerable,0.96,"[16, 25, 27, 28, 29, 34, 35, 36, 37, 38]","The displayed memory reads access list-node metadata/header fields, and newly created nodes have storage allocated before those fields are initialized. Although a negative param_1 can adjust the cursor backward at line 35, no memory read uses that adjusted pointer in this function; lines 37-38 are writes and the loop does not execute for a negative range.",gpt-5.6-sol,1219,616,0.024575,
CVE-2021-42386__vulnerable__command-injection,CVE-2021-42386,busybox,vulnerable,ghidra_pseudo_c,use-after-free,command-injection,False,,ready,ok,true_negative,not_vulnerable,0.99,"[13, 25, 34, 35, 36, 42]","The parameter influences allocation size and pointer arithmetic only. No command string construction, system/popen call, explicit shell invocation, or other shell-capable sink is present in the function.",gpt-5.6-sol,1243,95,0.009065,
CVE-2021-42386__patched__heap-buffer-overflow,CVE-2021-42386,busybox,patched,llvm_ir,use-after-free,heap-buffer-overflow,False,,ready,ok,true_negative,not_vulnerable,0.99,"[10, 11, 12, 13, 14, 15]","The function allocates a region using the sign-extended input multiplied by 32 and returns it without performing any writes. Therefore, no allocation-capacity versus write-size mismatch occurs within this isolated function.",gpt-5.6-sol,843,196,0.010095,
CVE-2021-42386__patched__use-after-free,CVE-2021-42386,busybox,patched,llvm_ir,use-after-free,use-after-free,False,,ready,ok,true_negative,not_vulnerable,0.99,"[13, 14, 15]","The function allocates memory with xzalloc, casts the resulting pointer, and returns it. No release operation or later use of a stale alias is present.",gpt-5.6-sol,814,85,0.00662,
CVE-2021-42386__patched__integer-overflow,CVE-2021-42386,busybox,patched,llvm_ir,use-after-free,integer-overflow,False,,ready,ok,true_negative,not_vulnerable,0.99,"[10, 11, 12, 13]","The i32 input is sign-extended to i64 before multiplication by 32. Its resulting range fits within signed i64, so the allocation-size computation cannot overflow; negative inputs may produce a large allocator argument after interpretation as a size, but no bounded-width arithmetic overflow occurs in this function.",gpt-5.6-sol,848,209,0.01051,
CVE-2021-42386__patched__null-pointer-dereference,CVE-2021-42386,busybox,patched,llvm_ir,use-after-free,null-pointer-dereference,False,,ready,ok,true_negative,not_vulnerable,0.99,"[13, 14, 15]",The allocation result is only bitcast and returned. This function neither dereferences it nor passes it to a recognized non-NULL-requiring operation.,gpt-5.6-sol,845,137,0.008335,
CVE-2021-42386__patched__out-of-bounds-read,CVE-2021-42386,busybox,patched,llvm_ir,use-after-free,out-of-bounds-read,False,,ready,ok,true_negative,not_vulnerable,0.99,"[10, 11, 12, 13, 14, 15]","The function computes an allocation size, calls xzalloc, casts the returned pointer, and returns it. It performs no read through the allocated pointer or any computed data index, so no out-of-bounds read occurs in this function.",gpt-5.6-sol,832,108,0.0074,
CVE-2021-42386__patched__command-injection,CVE-2021-42386,busybox,patched,llvm_ir,use-after-free,command-injection,False,,ready,ok,true_negative,not_vulnerable,0.99,"[7, 9, 10, 11, 12, 13, 15]","The parameter is used only to compute an allocation size passed to xzalloc. No command construction, shell invocation, system, popen, or other shell-capable sink appears in the function.",gpt-5.6-sol,856,100,0.00728,
CVE-2017-15873__vulnerable__heap-buffer-overflow,CVE-2017-15873,busybox,vulnerable,ghidra_pseudo_c,integer-overflow,heap-buffer-overflow,False,,ready,ok,true_negative,not_vulnerable,0.94,"[40, 209, 213, 214, 254, 264, 265, 266]","The function performs no local heap allocation or allocation-like call, so no allocation-size/write-size mismatch is established. Writes through the external region at lVar3 are guarded by iVar17-based bounds before the displayed loops and single-element write.",gpt-5.6-sol,5185,481,0.040355,
CVE-2017-15873__vulnerable__use-after-free,CVE-2017-15873,busybox,vulnerable,ghidra_pseudo_c,integer-overflow,use-after-free,False,,ready,ok,true_negative,not_vulnerable,0.99,[],"No release operation is displayed in this function. The visible memory operations use stack storage, param_1-derived storage, and memmove, with no locally established free, surviving alias, and later stale use sequence.",gpt-5.6-sol,5156,90,0.02848,
CVE-2017-15873__vulnerable__integer-overflow,CVE-2017-15873,busybox,vulnerable,ghidra_pseudo_c,integer-overflow,integer-overflow,True,,ready,ok,true_positive,vulnerable,0.94,"[209, 211, 213, 275, 276, 277]","The 32-bit signed values local_774 and iVar4 can grow repeatedly through shift/add and doubling at lines 275-277, plausibly exceeding INT_MAX. The resulting value participates in the capacity check iVar6 + local_774 at line 209, whose addition can itself overflow and bypass the check, then affects a histogram count and loop/write bound at lines 211-214.",gpt-5.6-sol,5190,641,0.04518,
CVE-2017-15873__vulnerable__null-pointer-dereference,CVE-2017-15873,busybox,vulnerable,ghidra_pseudo_c,integer-overflow,null-pointer-dereference,False,,ready,ok,false_positive,vulnerable,0.96,[40],"param_1 has no displayed non-NULL precondition or guard. If param_1 is NULL on entry, line 40 immediately dereferences it via pointer arithmetic and a load.",gpt-5.6-sol,5187,404,0.038055,
CVE-2017-15873__vulnerable__out-of-bounds-read,CVE-2017-15873,busybox,vulnerable,ghidra_pseudo_c,integer-overflow,out-of-bounds-read,False,,ready,ok,false_positive,vulnerable,0.96,"[52, 53, 246, 247]","uVar7 can have its high bit set, pass the signed bounds checks at lines 53 and 246 as a negative value, and then be converted to ulong for the read at line 247. For example, uVar7 == 0xffffffff follows this path when iVar17 and iVar6 are nonnegative, but addresses lVar3 + 0x3fffffffc, outside the extent represented by the iVar17 bound.",gpt-5.6-sol,5174,1009,0.05614,
CVE-2017-15873__vulnerable__command-injection,CVE-2017-15873,busybox,vulnerable,ghidra_pseudo_c,integer-overflow,command-injection,False,,ready,ok,true_negative,not_vulnerable,0.99,"[43, 44, 45, 49, 52, 55, 59, 75, 82, 86, 102, 107, 188, 258, 299]",The function processes parameter-derived state and decoded data but does not construct a command string or invoke a recognized shell-capable sink. The only locally visible standard-library calls are memmove and __stack_chk_fail; opaque FUN_00112846 cannot be assumed to invoke a shell.,gpt-5.6-sol,5198,132,0.02995,
CVE-2017-15873__patched__heap-buffer-overflow,CVE-2017-15873,busybox,patched,ghidra_pseudo_c,integer-overflow,heap-buffer-overflow,False,,ready,ok,abstention,indeterminate,0.97,"[39, 207, 212, 258, 269, 270]","The function writes 4-byte elements through lVar3 and bounds indices using param_1[0x12], including before the writes at lines 212 and 270. However, lVar3 and its actual allocation capacity are only loaded from param_1, so no local allocation-size expression can be related to the maximum bytes written.",gpt-5.6-sol,5250,265,0.0342,
CVE-2017-15873__patched__use-after-free,CVE-2017-15873,busybox,patched,ghidra_pseudo_c,integer-overflow,use-after-free,False,,ready,ok,true_negative,not_vulnerable,0.99,[],"No release operation is displayed in the function. Therefore, no feasible local sequence of freeing an object, retaining an alias, and later using that stale reference is present.",gpt-5.6-sol,5221,81,0.028535,
CVE-2017-15873__patched__integer-overflow,CVE-2017-15873,busybox,patched,ghidra_pseudo_c,integer-overflow,integer-overflow,False,,ready,ok,false_positive,vulnerable,0.94,"[207, 212, 220, 279, 280, 281]","The 32-bit unsigned value uVar8 can grow by repeated doubling and is accumulated into the signed 32-bit local_770 without an overflow guard. At line 207, uVar23 + local_770 is evaluated with unsigned conversion and can wrap, bypassing the capacity check; the wrapped arithmetic then controls the output-buffer index at line 212.",gpt-5.6-sol,5255,561,0.043105,
CVE-2017-15873__patched__null-pointer-dereference,CVE-2017-15873,busybox,patched,ghidra_pseudo_c,integer-overflow,null-pointer-dereference,False,,ready,ok,false_positive,vulnerable,0.99,[39],param_1 is dereferenced at line 39 without any preceding NULL guard. A feasible function-entry path with param_1 == NULL therefore reaches an immediate unsafe dereference.,gpt-5.6-sol,5252,262,0.03412,
CVE-2017-15873__patched__out-of-bounds-read,CVE-2017-15873,busybox,patched,ghidra_pseudo_c,integer-overflow,out-of-bounds-read,False,,ready,ok,false_positive,vulnerable,0.98,"[34, 203, 205, 259, 260, 261]","abStack_243 has 257 bytes, so valid indices are 0 through 256. Line 203 permits uVar9 == 257; on the uVar9 > 1 path, lines 259-261 compute lVar21 + 1 == uVar9 and read abStack_243[257], one byte beyond the array.",gpt-5.6-sol,5239,596,0.044075,
CVE-2017-15873__patched__command-injection,CVE-2017-15873,busybox,patched,ghidra_pseudo_c,integer-overflow,command-injection,False,,ready,ok,true_negative,not_vulnerable,0.99,"[39, 41, 42, 43, 262, 303]","The function processes parameter-associated binary data and performs memory manipulation, but it does not construct a command string or invoke a shell-capable sink. The only recognizable library calls are memmove and __stack_chk_fail, neither of which interprets commands.",gpt-5.6-sol,5263,108,0.029555,
CVE-2021-42373__vulnerable__heap-buffer-overflow,CVE-2021-42373,busybox,vulnerable,ghidra_pseudo_c,null-pointer-dereference,heap-buffer-overflow,False,,ready,ok,true_negative,not_vulnerable,0.97,"[61, 62, 101, 110, 111, 115, 123]","No feasible path relates a heap allocation size to excessive writes through its returned region. The opaque formatted-string call returns a pointer that is only passed onward and freed, while the displayed byte writes modify an existing argument string whose heap capacity is not established locally.",gpt-5.6-sol,2705,286,0.022105,
CVE-2021-42373__vulnerable__use-after-free,CVE-2021-42373,busybox,vulnerable,ghidra_pseudo_c,null-pointer-dereference,use-after-free,False,,ready,ok,true_negative,not_vulnerable,0.98,"[61, 62, 81, 83, 110, 112, 115]","The explicit free of local_98 is immediately followed by reassignment, before any later use or alias assignment. The temporary __ptr is used before being freed and is overwritten on the next iteration without a stale use; no feasible local free-then-use sequence is visible.",gpt-5.6-sol,2676,295,0.02223,
CVE-2021-42373__vulnerable__integer-overflow,CVE-2021-42373,busybox,vulnerable,ghidra_pseudo_c,null-pointer-dereference,integer-overflow,False,,ready,ok,abstention,indeterminate,0.74,"[108, 110, 111, 113, 116]","Line 108 narrows pointer values to 32-bit int before subtraction, so truncation or signed overflow could produce an incorrect formatting precision used at lines 110-111. Line 113 also performs mixed unsigned addition whose result can wrap or convert unexpectedly before controlling the loop at line 116. However, the function alone does not establish sufficiently large pointer distances or a return-value range for the opaque callee, so a feasible consequential overflow cannot be confirmed or excluded.",gpt-5.6-sol,2710,666,0.03353,
CVE-2021-42373__vulnerable__null-pointer-dereference,CVE-2021-42373,busybox,vulnerable,ghidra_pseudo_c,null-pointer-dereference,null-pointer-dereference,True,,ready,ok,true_positive,vulnerable,0.98,"[79, 80, 81, 82, 83, 89, 90, 91, 136]","The current array entry loaded through plVar12 is not checked for NULL before being passed to strchr at line 91. The function itself recognizes NULL entries as array terminators at line 136, and the path where FUN_00105b28 returns zero leaves plVar12 unchanged, allowing a NULL current entry to reach strchr.",gpt-5.6-sol,2707,494,0.028355,
CVE-2021-42373__vulnerable__out-of-bounds-read,CVE-2021-42373,busybox,vulnerable,ghidra_pseudo_c,null-pointer-dereference,out-of-bounds-read,False,,ready,ok,abstention,indeterminate,0.82,"[79, 80, 81, 82, 86, 90, 135, 136]","The function reads argv-like entries through plVar12 at lines 80 and 90, and line 86 can advance the pointer before the next read without a displayed extent check. However, the array extent, optind range, and the return behavior controlling that adjustment are not locally established, so a concrete out-of-bounds read path cannot be proven or excluded.",gpt-5.6-sol,2694,816,0.03795,
CVE-2021-42373__vulnerable__command-injection,CVE-2021-42373,busybox,vulnerable,ghidra_pseudo_c,null-pointer-dereference,command-injection,False,,ready,ok,abstention,indeterminate,0.95,"[70, 71, 72, 110, 111, 112, 128]","Environment-derived and parameter-derived strings are passed to opaque FUN_* callees, but no locally recognized shell-capable sink such as system or popen is shown. Under the isolation rules, the opaque callees cannot be assumed to invoke a shell, so command injection cannot be established or excluded from this function alone.",gpt-5.6-sol,2718,299,0.02256,
CVE-2021-42373__patched__heap-buffer-overflow,CVE-2021-42373,busybox,patched,ghidra_pseudo_c,null-pointer-dereference,heap-buffer-overflow,False,,ready,ok,true_negative,not_vulnerable,0.94,"[61, 62, 77, 110, 111, 112, 115]","No displayed path writes through a returned heap region beyond its locally supportable capacity. Opaque returned pointers are passed onward or freed, while the only direct character writes target existing input strings rather than a locally allocated destination.",gpt-5.6-sol,2753,225,0.020515,
CVE-2021-42373__patched__use-after-free,CVE-2021-42373,busybox,patched,ghidra_pseudo_c,null-pointer-dereference,use-after-free,False,,ready,ok,true_negative,not_vulnerable,0.98,"[61, 62, 110, 111, 112, 115]",Each visible free is followed by replacement or reassignment before the freed variable is used again. No surviving alias to either freed allocation is locally visible and subsequently used.,gpt-5.6-sol,2724,225,0.02037,
CVE-2021-42373__patched__integer-overflow,CVE-2021-42373,busybox,patched,ghidra_pseudo_c,null-pointer-dereference,integer-overflow,False,,ready,ok,abstention,indeterminate,0.76,"[110, 112, 113, 116]","The unsigned addition at line 113 can wrap for sufficiently large values returned by the opaque FUN_00105b5e, and the resulting int value controls both the loop and the pointer-offset multiplication at line 110. However, the supplied function does not establish a plausible return range for that callee, so a feasible overflow path with a consequential local pointer offset cannot be confirmed or excluded.",gpt-5.6-sol,2758,649,0.03326,
CVE-2021-42373__patched__null-pointer-dereference,CVE-2021-42373,busybox,patched,ghidra_pseudo_c,null-pointer-dereference,null-pointer-dereference,False,,ready,ok,true_negative,not_vulnerable,0.9,"[67, 68, 70, 71, 91, 92, 98, 107, 118, 121, 122]","Locally recognized nullable results are guarded before unsafe use: ppuVar8 receives a fallback, getenv results are conditionally assigned, and strchr/strrchr results are checked. No displayed local source or branch establishes that the argument-derived pcVar7 at line 91 can be NULL on a feasible path without assuming undisplayed caller behavior.",gpt-5.6-sol,2755,600,0.031775,
CVE-2021-42373__patched__out-of-bounds-read,CVE-2021-42373,busybox,patched,ghidra_pseudo_c,null-pointer-dereference,out-of-bounds-read,False,,ready,ok,abstention,indeterminate,0.93,"[79, 80, 82, 86, 90, 135, 136]","The function reads through plVar12 at lines 80, 82, 90, and 136 while advancing it at lines 86 and 135. The supplied function provides no locally inferable extent for the param_2 array or a validated bound tying optind and subsequent increments to that extent, so an out-of-bounds read can neither be established nor excluded.",gpt-5.6-sol,2742,332,0.02367,
CVE-2021-42373__patched__command-injection,CVE-2021-42373,busybox,patched,ghidra_pseudo_c,null-pointer-dereference,command-injection,False,,ready,ok,true_negative,not_vulnerable,0.98,"[70, 71, 72, 77, 90, 110, 111, 112, 128]","Environment- and parameter-derived strings are processed and formatted, but this function contains no locally visible system, popen, explicit shell invocation, or other recognized shell-capable sink. The opaque FUN_00105b5e calls cannot be assumed to invoke a shell.",gpt-5.6-sol,2766,210,0.02013,
CVE-2021-42374__vulnerable__heap-buffer-overflow,CVE-2021-42374,busybox,vulnerable,ghidra_pseudo_c,out-of-bounds-read,heap-buffer-overflow,False,,ready,ok,true_negative,not_vulnerable,0.94,"[47, 48, 49, 51, 53, 55, 56, 57, 58, 76, 246, 247, 248, 249, 250, 251, 252, 253, 256]","The output buffer is plausibly allocated with capacity min(uStack_4c, uStack_48); writes advance uStack_a8 one byte at a time and flush/reset exactly when uStack_a8 reaches uStack_4c, while the enclosing bounds prevent exceeding uStack_48. The second buffer is allocated for iVar19*2 bytes and its initialization writes exactly iVar19 two-byte elements. No feasible path in the displayed function establishes writes beyond these locally supportable heap capacities.",gpt-5.6-sol,4828,682,0.0446,
CVE-2021-42374__vulnerable__use-after-free,CVE-2021-42374,busybox,vulnerable,ghidra_pseudo_c,out-of-bounds-read,use-after-free,False,,ready,ok,true_negative,not_vulnerable,0.99,"[267, 268, 269, 275, 276, 279]","The three allocated objects are released at lines 267–269 only during final cleanup. Afterward, execution only performs the stack-canary check and returns or calls the non-returning stack-check failure routine; no freed pointer or surviving alias is subsequently used.",gpt-5.6-sol,4799,235,0.031045,
CVE-2021-42374__vulnerable__integer-overflow,CVE-2021-42374,busybox,vulnerable,ghidra_pseudo_c,out-of-bounds-read,integer-overflow,False,,ready,ok,true_negative,not_vulnerable,0.86,"[41, 45, 46, 52, 53, 185, 186, 187, 188]","The allocation-size arithmetic is bounded by bStack_4d < 0xe1: bVar14 is at most 8 and bVar4 at most 4, so (0x300 << (bVar14+bVar4)) + 0x736 and its multiplication by 2 fit in a 32-bit signed integer. The unsigned increment at line 185 can wrap to zero, but lines 186-188 explicitly handle that value as a termination case rather than using it as a size or index.",gpt-5.6-sol,4833,1531,0.070095,
CVE-2021-42374__vulnerable__null-pointer-dereference,CVE-2021-42374,busybox,vulnerable,ghidra_pseudo_c,out-of-bounds-read,null-pointer-dereference,False,,ready,ok,abstention,indeterminate,0.96,"[51, 53, 56, 60, 61]","The opaque functions at lines 51, 53, and 60 return pointers that are dereferenced without explicit NULL guards, first at lines 56 and 61. However, the isolated function provides no local evidence that these opaque callees can return NULL, so nullability cannot be established or excluded.",gpt-5.6-sol,4830,225,0.0309,
CVE-2021-42374__vulnerable__out-of-bounds-read,CVE-2021-42374,busybox,vulnerable,ghidra_pseudo_c,out-of-bounds-read,out-of-bounds-read,True,,ready,ok,abstention,indeterminate,0.86,"[47, 48, 49, 51, 86, 87, 88, 91]","The read at line 91 uses an index that is adjusted by adding uStack_4c after a negative subtraction, but it is not rechecked before the read. Although lines 47–51 suggest an allocation based on min(uStack_4c, uStack_48), FUN_00119a65 is opaque, so the readable extent of __ptr cannot be established from this isolated function; additionally, feasibility of an excessive adjusted index depends on decoder state not concretely resolved here.",gpt-5.6-sol,4817,1832,0.079045,
CVE-2021-42374__vulnerable__command-injection,CVE-2021-42374,busybox,vulnerable,ghidra_pseudo_c,out-of-bounds-read,command-injection,False,,ready,ok,true_negative,not_vulnerable,0.99,"[40, 250, 258, 265, 273, 279]","No shell-capable sink such as system, popen, or an explicit shell invocation is present. Parameter-derived values are used in data-processing and opaque helper calls, while the only visible string literals are fixed error messages; command construction is not shown.",gpt-5.6-sol,4841,109,0.027475,
CVE-2021-42374__patched__heap-buffer-overflow,CVE-2021-42374,busybox,patched,ghidra_pseudo_c,out-of-bounds-read,heap-buffer-overflow,False,,ready,ok,true_negative,not_vulnerable,0.94,"[42, 43, 47, 48, 49, 51, 53, 55, 56, 57, 58, 60, 75, 76, 245, 246, 247, 248, 249, 252, 255]","The output buffer is plausibly allocated with min(uStack_4c, uStack_48); writes occur at uStack_a8, which is reset when it reaches uStack_4c and otherwise bounded by uStack_48. The second buffer is allocated for iVar19 two-byte elements and initialized with exactly iVar19 two-byte writes, while the displayed writes to the 0x10028-byte allocation are at small fixed indices. No feasible displayed path establishes writes exceeding a locally supportable heap allocation capacity.",gpt-5.6-sol,4844,512,0.03958,
CVE-2021-42374__patched__use-after-free,CVE-2021-42374,busybox,patched,ghidra_pseudo_c,out-of-bounds-read,use-after-free,False,,ready,ok,true_negative,not_vulnerable,0.99,"[266, 267, 268, 274, 275, 278]",The three heap objects are released only during final cleanup at lines 266–268. No surviving alias is used afterward; execution proceeds only to the stack-canary check and return or the non-returning stack-check failure.,gpt-5.6-sol,4815,212,0.030435,
CVE-2021-42374__patched__integer-overflow,CVE-2021-42374,busybox,patched,ghidra_pseudo_c,out-of-bounds-read,integer-overflow,False,,ready,ok,false_positive,vulnerable,0.74,"[33, 36, 74, 76, 245, 251]","The 64-bit output total lStack_80 is repeatedly increased by positive chunk lengths without an overflow guard, while uStack_48 is an unrestricted 64-bit header-derived bound. On sufficiently large output, line 251 can overflow the inferred signed long (or wrap if its source type was unsigned), and the wrapped total then affects the loop-bound check at line 76, allowing the declared-output-size protection to be bypassed; confidence is reduced by decompiler signedness uncertainty and the extremely large path length required.",gpt-5.6-sol,4849,1155,0.058895,
