task_id,cve_id,project,variant,representation,indexed_bug_class,target_class,expected_positive,limited_observability_reason,input_status,response_status,category,model_verdict,confidence,evidence_lines,summary,model,input_tokens,output_tokens,actual_cost_usd,error
CVE-2026-29004__patched__out-of-bounds-read,CVE-2026-29004,busybox,patched,ghidra_pseudo_c,heap-buffer-overflow,out-of-bounds-read,False,,ready,,missing_output,,,[],,gpt-5.6-sol,,,,
CVE-2026-29004__patched__command-injection,CVE-2026-29004,busybox,patched,ghidra_pseudo_c,heap-buffer-overflow,command-injection,False,,ready,,missing_output,,,[],,gpt-5.6-sol,,,,
CVE-2021-42386__vulnerable__heap-buffer-overflow,CVE-2021-42386,busybox,vulnerable,ghidra_pseudo_c,use-after-free,heap-buffer-overflow,False,,ready,,missing_output,,,[],,gpt-5.6-sol,,,,
CVE-2021-42386__vulnerable__use-after-free,CVE-2021-42386,busybox,vulnerable,ghidra_pseudo_c,use-after-free,use-after-free,True,"The isolated nvalloc body does not show the freeing operation, retained stale alias, and later dereference needed to prove the indexed cross-function use-after-free.",ready,,missing_output,,,[],,gpt-5.6-sol,,,,
CVE-2021-42386__vulnerable__integer-overflow,CVE-2021-42386,busybox,vulnerable,ghidra_pseudo_c,use-after-free,integer-overflow,False,,ready,,missing_output,,,[],,gpt-5.6-sol,,,,
CVE-2021-42386__vulnerable__null-pointer-dereference,CVE-2021-42386,busybox,vulnerable,ghidra_pseudo_c,use-after-free,null-pointer-dereference,False,,ready,,missing_output,,,[],,gpt-5.6-sol,,,,
CVE-2021-42386__vulnerable__out-of-bounds-read,CVE-2021-42386,busybox,vulnerable,ghidra_pseudo_c,use-after-free,out-of-bounds-read,False,,ready,,missing_output,,,[],,gpt-5.6-sol,,,,
CVE-2021-42386__vulnerable__command-injection,CVE-2021-42386,busybox,vulnerable,ghidra_pseudo_c,use-after-free,command-injection,False,,ready,,missing_output,,,[],,gpt-5.6-sol,,,,
CVE-2021-42386__patched__heap-buffer-overflow,CVE-2021-42386,busybox,patched,llvm_ir,use-after-free,heap-buffer-overflow,False,,ready,,missing_output,,,[],,gpt-5.6-sol,,,,
CVE-2021-42386__patched__use-after-free,CVE-2021-42386,busybox,patched,llvm_ir,use-after-free,use-after-free,False,,ready,ok,true_negative,not_vulnerable,0.99,"[13, 14, 15]","The function allocates memory with xzalloc, casts the returned pointer, and returns it. No release operation or subsequent stale-reference use is present.",gpt-5.6-sol,814,83,0.00656,
CVE-2021-42386__patched__integer-overflow,CVE-2021-42386,busybox,patched,llvm_ir,use-after-free,integer-overflow,False,,ready,,missing_output,,,[],,gpt-5.6-sol,,,,
CVE-2021-42386__patched__null-pointer-dereference,CVE-2021-42386,busybox,patched,llvm_ir,use-after-free,null-pointer-dereference,False,,ready,,missing_output,,,[],,gpt-5.6-sol,,,,
CVE-2021-42386__patched__out-of-bounds-read,CVE-2021-42386,busybox,patched,llvm_ir,use-after-free,out-of-bounds-read,False,,ready,,missing_output,,,[],,gpt-5.6-sol,,,,
CVE-2021-42386__patched__command-injection,CVE-2021-42386,busybox,patched,llvm_ir,use-after-free,command-injection,False,,ready,,missing_output,,,[],,gpt-5.6-sol,,,,
CVE-2017-15873__vulnerable__heap-buffer-overflow,CVE-2017-15873,busybox,vulnerable,ghidra_pseudo_c,integer-overflow,heap-buffer-overflow,False,,ready,,missing_output,,,[],,gpt-5.6-sol,,,,
CVE-2017-15873__vulnerable__use-after-free,CVE-2017-15873,busybox,vulnerable,ghidra_pseudo_c,integer-overflow,use-after-free,False,,ready,,missing_output,,,[],,gpt-5.6-sol,,,,
CVE-2017-15873__vulnerable__integer-overflow,CVE-2017-15873,busybox,vulnerable,ghidra_pseudo_c,integer-overflow,integer-overflow,True,,ready,,missing_output,,,[],,gpt-5.6-sol,,,,
CVE-2017-15873__vulnerable__null-pointer-dereference,CVE-2017-15873,busybox,vulnerable,ghidra_pseudo_c,integer-overflow,null-pointer-dereference,False,,ready,,missing_output,,,[],,gpt-5.6-sol,,,,
CVE-2017-15873__vulnerable__out-of-bounds-read,CVE-2017-15873,busybox,vulnerable,ghidra_pseudo_c,integer-overflow,out-of-bounds-read,False,,ready,,missing_output,,,[],,gpt-5.6-sol,,,,
CVE-2017-15873__vulnerable__command-injection,CVE-2017-15873,busybox,vulnerable,ghidra_pseudo_c,integer-overflow,command-injection,False,,ready,,missing_output,,,[],,gpt-5.6-sol,,,,
CVE-2017-15873__patched__heap-buffer-overflow,CVE-2017-15873,busybox,patched,ghidra_pseudo_c,integer-overflow,heap-buffer-overflow,False,,ready,,missing_output,,,[],,gpt-5.6-sol,,,,
CVE-2017-15873__patched__use-after-free,CVE-2017-15873,busybox,patched,ghidra_pseudo_c,integer-overflow,use-after-free,False,,ready,,missing_output,,,[],,gpt-5.6-sol,,,,
CVE-2017-15873__patched__integer-overflow,CVE-2017-15873,busybox,patched,ghidra_pseudo_c,integer-overflow,integer-overflow,False,,ready,,missing_output,,,[],,gpt-5.6-sol,,,,
CVE-2017-15873__patched__null-pointer-dereference,CVE-2017-15873,busybox,patched,ghidra_pseudo_c,integer-overflow,null-pointer-dereference,False,,ready,,missing_output,,,[],,gpt-5.6-sol,,,,
CVE-2017-15873__patched__out-of-bounds-read,CVE-2017-15873,busybox,patched,ghidra_pseudo_c,integer-overflow,out-of-bounds-read,False,,ready,,missing_output,,,[],,gpt-5.6-sol,,,,
CVE-2017-15873__patched__command-injection,CVE-2017-15873,busybox,patched,ghidra_pseudo_c,integer-overflow,command-injection,False,,ready,,missing_output,,,[],,gpt-5.6-sol,,,,
CVE-2021-42373__vulnerable__heap-buffer-overflow,CVE-2021-42373,busybox,vulnerable,ghidra_pseudo_c,null-pointer-dereference,heap-buffer-overflow,False,,ready,,missing_output,,,[],,gpt-5.6-sol,,,,
CVE-2021-42373__vulnerable__use-after-free,CVE-2021-42373,busybox,vulnerable,ghidra_pseudo_c,null-pointer-dereference,use-after-free,False,,ready,,missing_output,,,[],,gpt-5.6-sol,,,,
CVE-2021-42373__vulnerable__integer-overflow,CVE-2021-42373,busybox,vulnerable,ghidra_pseudo_c,null-pointer-dereference,integer-overflow,False,,ready,,missing_output,,,[],,gpt-5.6-sol,,,,
CVE-2021-42373__vulnerable__null-pointer-dereference,CVE-2021-42373,busybox,vulnerable,ghidra_pseudo_c,null-pointer-dereference,null-pointer-dereference,True,,ready,,missing_output,,,[],,gpt-5.6-sol,,,,
CVE-2021-42373__vulnerable__out-of-bounds-read,CVE-2021-42373,busybox,vulnerable,ghidra_pseudo_c,null-pointer-dereference,out-of-bounds-read,False,,ready,,missing_output,,,[],,gpt-5.6-sol,,,,
CVE-2021-42373__vulnerable__command-injection,CVE-2021-42373,busybox,vulnerable,ghidra_pseudo_c,null-pointer-dereference,command-injection,False,,ready,,missing_output,,,[],,gpt-5.6-sol,,,,
CVE-2021-42373__patched__heap-buffer-overflow,CVE-2021-42373,busybox,patched,ghidra_pseudo_c,null-pointer-dereference,heap-buffer-overflow,False,,ready,,missing_output,,,[],,gpt-5.6-sol,,,,
CVE-2021-42373__patched__use-after-free,CVE-2021-42373,busybox,patched,ghidra_pseudo_c,null-pointer-dereference,use-after-free,False,,ready,,missing_output,,,[],,gpt-5.6-sol,,,,
CVE-2021-42373__patched__integer-overflow,CVE-2021-42373,busybox,patched,ghidra_pseudo_c,null-pointer-dereference,integer-overflow,False,,ready,,missing_output,,,[],,gpt-5.6-sol,,,,
CVE-2021-42373__patched__null-pointer-dereference,CVE-2021-42373,busybox,patched,ghidra_pseudo_c,null-pointer-dereference,null-pointer-dereference,False,,ready,,missing_output,,,[],,gpt-5.6-sol,,,,
CVE-2021-42373__patched__out-of-bounds-read,CVE-2021-42373,busybox,patched,ghidra_pseudo_c,null-pointer-dereference,out-of-bounds-read,False,,ready,,missing_output,,,[],,gpt-5.6-sol,,,,
CVE-2021-42373__patched__command-injection,CVE-2021-42373,busybox,patched,ghidra_pseudo_c,null-pointer-dereference,command-injection,False,,ready,,missing_output,,,[],,gpt-5.6-sol,,,,
CVE-2021-42374__vulnerable__heap-buffer-overflow,CVE-2021-42374,busybox,vulnerable,ghidra_pseudo_c,out-of-bounds-read,heap-buffer-overflow,False,,ready,,missing_output,,,[],,gpt-5.6-sol,,,,
CVE-2021-42374__vulnerable__use-after-free,CVE-2021-42374,busybox,vulnerable,ghidra_pseudo_c,out-of-bounds-read,use-after-free,False,,ready,,missing_output,,,[],,gpt-5.6-sol,,,,
CVE-2021-42374__vulnerable__integer-overflow,CVE-2021-42374,busybox,vulnerable,ghidra_pseudo_c,out-of-bounds-read,integer-overflow,False,,ready,,missing_output,,,[],,gpt-5.6-sol,,,,
CVE-2021-42374__vulnerable__null-pointer-dereference,CVE-2021-42374,busybox,vulnerable,ghidra_pseudo_c,out-of-bounds-read,null-pointer-dereference,False,,ready,,missing_output,,,[],,gpt-5.6-sol,,,,
CVE-2021-42374__vulnerable__out-of-bounds-read,CVE-2021-42374,busybox,vulnerable,ghidra_pseudo_c,out-of-bounds-read,out-of-bounds-read,True,,ready,,missing_output,,,[],,gpt-5.6-sol,,,,
CVE-2021-42374__vulnerable__command-injection,CVE-2021-42374,busybox,vulnerable,ghidra_pseudo_c,out-of-bounds-read,command-injection,False,,ready,,missing_output,,,[],,gpt-5.6-sol,,,,
CVE-2021-42374__patched__heap-buffer-overflow,CVE-2021-42374,busybox,patched,ghidra_pseudo_c,out-of-bounds-read,heap-buffer-overflow,False,,ready,,missing_output,,,[],,gpt-5.6-sol,,,,
CVE-2021-42374__patched__use-after-free,CVE-2021-42374,busybox,patched,ghidra_pseudo_c,out-of-bounds-read,use-after-free,False,,ready,,missing_output,,,[],,gpt-5.6-sol,,,,
CVE-2021-42374__patched__integer-overflow,CVE-2021-42374,busybox,patched,ghidra_pseudo_c,out-of-bounds-read,integer-overflow,False,,ready,,missing_output,,,[],,gpt-5.6-sol,,,,
CVE-2021-42374__patched__null-pointer-dereference,CVE-2021-42374,busybox,patched,ghidra_pseudo_c,out-of-bounds-read,null-pointer-dereference,False,,ready,,missing_output,,,[],,gpt-5.6-sol,,,,
CVE-2021-42374__patched__out-of-bounds-read,CVE-2021-42374,busybox,patched,ghidra_pseudo_c,out-of-bounds-read,out-of-bounds-read,False,,ready,,missing_output,,,[],,gpt-5.6-sol,,,,
CVE-2021-42374__patched__command-injection,CVE-2021-42374,busybox,patched,ghidra_pseudo_c,out-of-bounds-read,command-injection,False,,ready,,missing_output,,,[],,gpt-5.6-sol,,,,
